title,exercise_path,url,target_muscles,synergist_muscles,stabilizer_muscles,description,equipment
Behind-the-Back Curl (Cable),/exercise/1461,https://app.strength.muscleandmotion.com/exercise/1461,Biceps Brachii,Brachialis; Brachioradialis,Wrist Flexors; Lower Trapezius; Erector Spinae,"The Behind-the-Back Curl is an isolation exercise in which the long head of the biceps works in a lengthened position. Stand tall, facing away from the cable machine. Set the pulley to the lowest position and grasp the handle with one hand, extending your arm slightly behind your torso. Start by curling the handle forward, focusing on elbow flexion without moving your shoulder. Squeeze the biceps at the top, then slowly return to the starting position. Keep your torso upright and avoid using momentum to lift the weight.",Cable; Machine
Behind-the-Back One-Arm Curl (Cable),/exercise/1163,https://app.strength.muscleandmotion.com/exercise/1163,"Biceps Brachii; Biceps Brachii, long head",Brachialis; Brachioradialis,Erector Spinae; Transversus Abdominis; Pelvic Diaphragm; Quadriceps Femoris,"Behind the Back One-Arm Curl (Cable) Attach a single grip handle to a low pulley cable, hold the handle and stand with your back to the cable. Exhale and flex the elbow to bring the handle toward the shoulder, hold for a moment and then inhale as you slowly go back to the starting position.",Cable
Bench Fly (Cable),/exercise/87,https://app.strength.muscleandmotion.com/exercise/87,"Pectoralis Major, Sternal Head","Anterior Deltoid; Serratus Anterior; Coracobrachialis; Biceps Brachii, long head; Pectoralis Major, Clavicular Head; Pectoralis Major, Costal Head",Biceps Brachii; Brachialis; Brachioradialis; Wrist Flexors; Abdominal Muscles,"The Bench Fly with Cable is a great exercise to strengthen your chest muscles. Lie down on a bench facing up, and hold the cable handles with your arms above your chest. Keep your elbows slightly bent, and start to lower your arms to the side until your elbows reach bench height. Squeeze your chest muscles before returning the arms to the starting position and repeat.",Bench; Cable
Bench Glute Bridge (Dumbbell),/exercise/835,https://app.strength.muscleandmotion.com/exercise/835,Gluteus Maximus,Hamstrings; Quadriceps Femoris,Erector Spinae,It is important to keep the back straight throughout the movement.,Bench; Dumbbell
Bench Press (Barbell),/exercise/86,https://app.strength.muscleandmotion.com/exercise/86,"Pectoralis Major, Sternal Head","Anterior Deltoid; Triceps Brachii; Serratus Anterior; Coracobrachialis; Biceps Brachii, long head",Abdominal Muscles,"The Bench Press with a Barbell is an exercise aimed at strengthening the Pectoralis major muscle. Lie with your back on a flat bench and hold a barbell in your hands. Ensure that your feet are flat on the floor. Grab the bar with an overhand grip. Your hands should be slightly wider than shoulder-width apart, elbows fully extended. Take a deep breath and lift the bar off the rack. The bar should be placed slightly below your shoulders. Slowly lower the bar until it touches your chest; your elbows should be pointing to the sides and slightly downward. Push the bar back up to the starting position. Repeat the exercise for the desired number of repetitions.",Barbell; Bench
Bench Press (Dumbbell),/exercise/88,https://app.strength.muscleandmotion.com/exercise/88,"Pectoralis Major, Sternal Head","Anterior Deltoid; Triceps Brachii; Serratus Anterior; Coracobrachialis; Biceps Brachii, long head",Abdominal Muscles,The Bench Press with Dumbbell is an exercise that strengthens your pectoral muscles. Lie down with your back on a bench and hold a dumbbell in each hand. Position the dumbbells directly over your shoulder with straight elbows and palms facing forward. Slowly lower the dumbbells with control; your elbows should point slightly outward until you reach chest height. Press the dumbbells up until your lock your elbows. Repeat for the desired number of repetitions.,Bench; Dumbbell
Bench Press (Smith Machine),/exercise/1451,https://app.strength.muscleandmotion.com/exercise/1451,Pectoralis Major,Serratus Anterior; Triceps Brachii; Anterior Deltoid,Abdominal Muscles; Erector Spinae; Gluteus Maximus; Quadriceps Femoris,"The Bench Press on a Smith Machine is a compound exercise aimed at strengthening the pectoralis major muscle. The Smith Machine offers increased stability, making it easier to control the movement and isolate the target muscles. Lie on a flat bench with your back firmly supported and your feet flat on the floor. Grip the bar with an overhand grip slightly wider than shoulder width, and fully extend your elbows. Unrack the bar and position it slightly below shoulder level. Inhale and lower the bar slowly and with control until it gently touches your chest. Keep your elbows angled out to the sides and slightly downward. Press the bar back up by extending your elbows until your arms are fully straight without locking the elbow joints. Repeat for the desired number of repetitions.",Bench; Machine
Bent Arm Frog Stand,/exercise/1049,https://app.strength.muscleandmotion.com/exercise/1049,,,Deltoid; Triceps Brachii; Wrist Flexors; Serratus Anterior; Pectoralis Major; Hamstrings; Abdominal Muscles,,
Bent Leg Hip Extension (Bodyweight ),/exercise/137,https://app.strength.muscleandmotion.com/exercise/137,Gluteus Maximus,Hamstrings,Abdominal Muscles; Serratus Anterior,Drawing the knee to the chest will be effective only if we work with a cable!,Bodyweight; Cable
Bent Leg Roll-up,/exercise/1048,https://app.strength.muscleandmotion.com/exercise/1048,Iliacus; Psoas Major; Rectus Abdominis,External Oblique; Internal Oblique,Diaphragm; Pelvic Diaphragm,"Begin in a sitting position. Tilt the pelvis posteriorly, and slowly roll the spine backward, vertebra by vertebra, into a supine position. Start rolling back up, disconnecting each vertebrae off the mat until reaching a sitting position.",
Bent-over High Row (Resistance Band),/exercise/782,https://app.strength.muscleandmotion.com/exercise/782,Posterior Deltoid; Gluteus Maximus; Erector Spinae,Trapezius; Rhomboid Muscles,Triceps Brachii; Erector Spinae; Abdominal Muscles; Pelvic Diaphragm; Diaphragm; Gluteus Maximus; Hamstrings,Bent Over High Row also known as 'Bent-Over Lateral raise' or 'Rear Delt Raise'. Stand with your feet hip-width apart holding both ends of the resistance band. Bend at your waist (through the hip joint – hip hinge) and slightly bend your knees. With your core tight and back straight. Raise the resistance band to the sides until your elbows are in line with your shoulders.,Resistance Band
Bent-over Rear Row (Smith Machine),/exercise/1449,https://app.strength.muscleandmotion.com/exercise/1449,Posterior Deltoid,Teres Minor; Infraspinatus; Rhomboid Muscles; Middle Trapezius,Gluteus Maximus; Hamstrings; Erector Spinae; Gastrocnemius; Abdominal Muscles,"The Bent-over Rear Delt Row on a Smith Machine is an isolation exercise that targets the posterior deltoid and upper back muscles. The fixed bar path offers added control, allowing strict form and focused rear delt activation. Stand with your feet shoulder-width apart and grip the bar with an overhand grip, wider than shoulder-width. Hinge at the hips, bringing your torso forward, keeping your spine neutral and knees slightly bent. Pull the bar toward your lower chest, flaring your elbows to the sides until your elbows are above shoulder height. Slowly lower the bar back to the starting position and repeat for the desired number of repetitions.",Machine
Bent-over Row (Barbell),/exercise/1033,https://app.strength.muscleandmotion.com/exercise/1033,Latissimus Dorsi; Erector Spinae; Posterior Deltoid,Trapezius; Rhomboid Muscles; Teres Major,Erector Spinae; Gluteus Maximus; Hamstrings; Quadriceps Femoris,,Barbell
Bent-over Row (Kettlebell),/exercise/470,https://app.strength.muscleandmotion.com/exercise/470,Latissimus Dorsi; Posterior Deltoid; Erector Spinae,Teres Major; Trapezius; Rhomboid Muscles; Posterior Deltoid,Erector Spinae; Gluteus Maximus; Hamstrings; Gastrocnemius,"The bent over row is typically used to build and strengthen the muscles of the upper back (Latissimus Dorsi, Rhomboids, and Trapezius). However, it requires assistance from muscles of the low back, core, and the entire posterior chain. Pull the Kettlebell towards your belly button and then slowly lower the Kettlebell back to the starting position under control. Repeat for the desired number of repetitions.",Kettlebell
Bent-over Row (Long Bar),/exercise/682,https://app.strength.muscleandmotion.com/exercise/682,Latissimus Dorsi; Posterior Deltoid; Erector Spinae,"Teres Major; Trapezius; Rhomboid Muscles; Biceps Brachii; Brachialis; Brachioradialis; Triceps Brachii, Long Head",Erector Spinae; Gluteus Maximus; Gastrocnemius; Abdominal Muscles,,
Bent-over Row (Sandbag),/exercise/936,https://app.strength.muscleandmotion.com/exercise/936,Latissimus Dorsi,"Posterior Deltoid; Teres Major; Triceps Brachii, Long Head",Erector Spinae; Transversus Abdominis; Pelvic Diaphragm; Diaphragm; Hamstrings; Gluteus Maximus; Quadriceps Femoris,"The bent over row is typically used to strengthen the muscles of the upper back (Latissimus Dorsi, rhomboids, and trapezius). However, it requires assistance from muscles of the lower back, core, and the entire posterior chain. Pull the bag towards your belly button and then slowly lower the bag back to the starting position under control. Repeat for the desired number of repetitions.",Sandbag
Bent-over Row (Smith Machine),/exercise/1450,https://app.strength.muscleandmotion.com/exercise/1450,Latissimus Dorsi; Rhomboid Muscles; Middle Trapezius,Rhomboid Muscles; Posterior Deltoid; Biceps Brachii; Brachialis; Brachioradialis,Erector Spinae; Gluteus Maximus; Hamstrings; Gastrocnemius,"The Smith Machine Bent-over Row strengthens the upper back muscles while stabilizing the movement by engaging the lower back, core, and the entire posterior chain. Stand with your feet shoulder-width apart and grip the bar with a slightly wider-than-shoulder-width overhand grip. Hinge forward at the hips with a neutral spine and a slight bend at the knees. Pull the bar toward your belly button, then slowly and with control, lower it back to the starting position. Repeat for the desired number of repetitions.",Machine
Bicep Curl (EZ Bar),/exercise/34,https://app.strength.muscleandmotion.com/exercise/34,"Biceps Brachii, short head; Biceps Brachii",Brachialis; Brachioradialis; Pronator Teres,Erector Spinae; Levator Scapulae; Trapezius; Rhomboid Muscles; Wrist Flexors,"The EZ Bar Curl targets the biceps, reducing wrist strain thanks to its angled grip. Stand upright, grip the bar with palms facing up at shoulder width, and keep your elbows close to your sides. Bend your elbows and curl the bar toward your shoulders. Pause at the top, then lower it slowly in a controlled motion.",
